CMDLINE python main.py
MEM 0.421875 1569654886.9368
MEM 16.484375 1569654887.0404
MEM 25.738281 1569654887.1442
MEM 37.941406 1569654887.2478
MEM 43.273438 1569654887.3515
MEM 45.242188 1569654887.4558
MEM 46.242188 1569654887.5597
MEM 46.273438 1569654887.6633
MEM 46.273438 1569654887.7690
MEM 46.273438 1569654887.8726
MEM 46.277344 1569654887.9778
MEM 46.277344 1569654888.0829
MEM 46.277344 1569654888.1881
MEM 46.277344 1569654888.2917
MEM 46.277344 1569654888.3949
MEM 46.277344 1569654888.4981
MEM 46.277344 1569654888.6032
MEM 46.277344 1569654888.7069
MEM 46.277344 1569654888.8106
MEM 46.277344 1569654888.9142
MEM 46.277344 1569654889.0179
MEM 46.277344 1569654889.1231
MEM 46.277344 1569654889.2267
MEM 46.277344 1569654889.3304
MEM 46.277344 1569654889.4340
MEM 46.277344 1569654889.5382
MEM 46.277344 1569654889.6419
MEM 46.277344 1569654889.7455
MEM 46.277344 1569654889.8497
MEM 46.304688 1569654889.9543
MEM 46.261719 1569654890.0608
MEM 46.261719 1569654890.1675
MEM 46.261719 1569654890.2749
MEM 41.941406 1569654890.3785
