CMDLINE python main.py
MEM 46.187500 1569653779.1364
MEM 46.187500 1569653779.2406
MEM 46.187500 1569653779.3448
MEM 46.187500 1569653779.4484
MEM 46.187500 1569653779.5521
MEM 46.187500 1569653779.6557
MEM 46.187500 1569653779.7604
MEM 46.187500 1569653779.8641
MEM 46.187500 1569653779.9677
MEM 46.187500 1569653780.0719
MEM 46.187500 1569653780.1756
MEM 46.187500 1569653780.2797
MEM 46.187500 1569653780.3834
MEM 46.187500 1569653780.4875
MEM 46.187500 1569653780.5917
MEM 46.187500 1569653780.6954
MEM 46.187500 1569653780.8000
MEM 46.187500 1569653780.9042
MEM 46.187500 1569653781.0079
MEM 46.187500 1569653781.1120
MEM 46.187500 1569653781.2157
MEM 46.187500 1569653781.3193
MEM 46.187500 1569653781.4230
MEM 46.187500 1569653781.5277
MEM 46.187500 1569653781.6318
MEM 46.187500 1569653781.7360
MEM 46.187500 1569653781.8396
MEM 46.187500 1569653781.9443
MEM 46.187500 1569653782.0485
MEM 46.187500 1569653782.1521
MEM 46.187500 1569653782.2553
MEM 46.187500 1569653782.3609
MEM 46.187500 1569653782.4646
MEM 46.187500 1569653782.5683
MEM 46.187500 1569653782.6724
MEM 46.187500 1569653782.7776
MEM 46.187500 1569653782.8817
MEM 46.187500 1569653782.9854
MEM 46.187500 1569653783.0896
MEM 46.187500 1569653783.1942
MEM 46.187500 1569653783.2979
MEM 46.187500 1569653783.4015
MEM 46.187500 1569653783.5047
MEM 46.187500 1569653783.6099
MEM 46.187500 1569653783.7140
MEM 46.187500 1569653783.8177
MEM 46.187500 1569653783.9214
MEM 46.187500 1569653784.0255
MEM 46.187500 1569653784.1302
MEM 46.187500 1569653784.2343
MEM 46.187500 1569653784.3385
MEM 46.187500 1569653784.4426
MEM 46.187500 1569653784.5463
MEM 46.187500 1569653784.6500
MEM 46.187500 1569653784.7542
MEM 46.187500 1569653784.8583
MEM 46.187500 1569653784.9630
MEM 46.187500 1569653785.0666
MEM 46.187500 1569653785.1708
MEM 46.187500 1569653785.2744
MEM 46.187500 1569653785.3786
MEM 46.187500 1569653785.4823
MEM 46.187500 1569653785.5859
MEM 46.187500 1569653785.6901
MEM 46.187500 1569653785.7953
MEM 46.187500 1569653785.8989
MEM 46.187500 1569653786.0036
MEM 46.187500 1569653786.1082
MEM 46.187500 1569653786.2129
MEM 46.187500 1569653786.3166
MEM 46.187500 1569653786.4207
MEM 46.187500 1569653786.5249
MEM 46.187500 1569653786.6290
MEM 46.187500 1569653786.7337
MEM 46.187500 1569653786.8368
MEM 46.187500 1569653786.9410
MEM 46.187500 1569653787.0452
MEM 46.187500 1569653787.1484
MEM 46.187500 1569653787.2525
MEM 46.187500 1569653787.3566
MEM 46.187500 1569653787.4618
MEM 46.187500 1569653787.5660
MEM 46.187500 1569653787.6691
MEM 46.187500 1569653787.7728
MEM 46.187500 1569653787.8774
MEM 46.187500 1569653787.9821
MEM 46.187500 1569653788.0858
MEM 46.187500 1569653788.1894
MEM 46.187500 1569653788.2951
MEM 46.187500 1569653788.3993
MEM 46.187500 1569653788.5029
MEM 46.187500 1569653788.6066
MEM 46.187500 1569653788.7112
MEM 46.187500 1569653788.8149
MEM 46.187500 1569653788.9186
MEM 46.187500 1569653789.0227
MEM 46.187500 1569653789.1274
MEM 46.187500 1569653789.2315
MEM 46.187500 1569653789.3352
MEM 46.187500 1569653789.4389
MEM 46.187500 1569653789.5435
MEM 46.187500 1569653789.6477
MEM 46.187500 1569653789.7519
MEM 46.187500 1569653789.8555
MEM 46.187500 1569653789.9602
MEM 46.187500 1569653790.0643
MEM 46.187500 1569653790.1680
MEM 46.187500 1569653790.2716
MEM 46.187500 1569653790.3763
MEM 46.187500 1569653790.4805
MEM 46.187500 1569653790.5841
MEM 46.187500 1569653790.6878
MEM 46.187500 1569653790.7914
MEM 46.187500 1569653790.8946
MEM 46.187500 1569653790.9983
MEM 46.187500 1569653791.1024
MEM 46.187500 1569653791.2061
MEM 46.187500 1569653791.3098
MEM 46.187500 1569653791.4139
MEM 46.187500 1569653791.5176
