CMDLINE python main.py
MEM 0.484375 1569653604.0028
MEM 9.933594 1569653604.1072
MEM 10.375000 1569653604.2114
MEM 11.605469 1569653604.3154
MEM 13.101562 1569653604.4215
MEM 14.425781 1569653604.5252
MEM 19.375000 1569653604.6295
MEM 23.429688 1569653604.7336
MEM 29.460938 1569653604.8391
MEM 38.929688 1569653604.9439
MEM 44.675781 1569653605.0476
MEM 45.390625 1569653605.1515
MEM 46.757812 1569653605.2551
MEM 46.757812 1569653605.3588
MEM 46.757812 1569653605.4630
MEM 46.757812 1569653605.5671
MEM 46.757812 1569653605.6713
MEM 46.757812 1569653605.7749
MEM 46.757812 1569653605.8786
MEM 46.757812 1569653605.9828
MEM 46.757812 1569653606.0884
MEM 46.761719 1569653606.1931
MEM 46.761719 1569653606.2977
MEM 46.761719 1569653606.4019
MEM 46.761719 1569653606.5055
MEM 46.761719 1569653606.6092
MEM 46.761719 1569653606.7129
MEM 46.761719 1569653606.8170
MEM 46.761719 1569653606.9212
MEM 46.761719 1569653607.0249
MEM 46.761719 1569653607.1290
MEM 46.761719 1569653607.2327
MEM 46.761719 1569653607.3373
MEM 46.761719 1569653607.4420
MEM 46.761719 1569653607.5462
MEM 46.761719 1569653607.6498
MEM 46.761719 1569653607.7540
MEM 46.761719 1569653607.8579
MEM 46.761719 1569653607.9621
MEM 46.761719 1569653608.0657
MEM 46.761719 1569653608.1694
MEM 46.761719 1569653608.2740
MEM 46.761719 1569653608.3782
MEM 46.761719 1569653608.4819
MEM 46.761719 1569653608.5855
MEM 46.761719 1569653608.6902
MEM 46.761719 1569653608.7938
MEM 46.761719 1569653608.8975
MEM 46.761719 1569653609.0022
MEM 46.761719 1569653609.1063
MEM 46.761719 1569653609.2100
MEM 46.761719 1569653609.3141
MEM 46.761719 1569653609.4183
MEM 46.761719 1569653609.5225
MEM 46.761719 1569653609.6256
MEM 46.761719 1569653609.7298
MEM 46.761719 1569653609.8340
MEM 46.761719 1569653609.9381
MEM 46.761719 1569653610.0423
MEM 46.761719 1569653610.1454
MEM 46.761719 1569653610.2501
MEM 46.761719 1569653610.3543
MEM 46.761719 1569653610.4589
MEM 46.761719 1569653610.5626
MEM 46.761719 1569653610.6667
MEM 46.761719 1569653610.7704
MEM 46.761719 1569653610.8746
MEM 46.761719 1569653610.9787
MEM 46.761719 1569653611.0824
MEM 46.761719 1569653611.1861
MEM 46.761719 1569653611.2902
MEM 46.761719 1569653611.3939
MEM 46.761719 1569653611.4975
MEM 46.761719 1569653611.6027
MEM 46.761719 1569653611.7069
MEM 46.761719 1569653611.8110
MEM 46.761719 1569653611.9147
MEM 46.761719 1569653612.0193
MEM 46.761719 1569653612.1230
MEM 46.761719 1569653612.2262
MEM 46.761719 1569653612.3298
MEM 46.761719 1569653612.4340
MEM 46.761719 1569653612.5386
MEM 46.761719 1569653612.6483
MEM 46.761719 1569653612.7525
MEM 46.761719 1569653612.8566
MEM 46.761719 1569653612.9612
MEM 46.761719 1569653613.0649
MEM 46.761719 1569653613.1691
MEM 46.761719 1569653613.2732
MEM 46.761719 1569653613.3774
MEM 46.761719 1569653613.4816
MEM 46.761719 1569653613.5857
MEM 46.761719 1569653613.6899
MEM 46.761719 1569653613.7936
MEM 46.761719 1569653613.8977
MEM 46.761719 1569653614.0029
MEM 46.761719 1569653614.1065
MEM 46.765625 1569653614.2102
MEM 46.765625 1569653614.3139
MEM 46.765625 1569653614.4180
MEM 46.765625 1569653614.5217
MEM 46.765625 1569653614.6248
MEM 46.765625 1569653614.7285
MEM 46.765625 1569653614.8322
MEM 46.765625 1569653614.9358
MEM 46.769531 1569653615.0405
MEM 46.769531 1569653615.1446
MEM 46.769531 1569653615.2488
MEM 46.769531 1569653615.3530
MEM 46.769531 1569653615.4571
MEM 46.769531 1569653615.5613
MEM 46.769531 1569653615.6655
MEM 46.769531 1569653615.7701
MEM 46.769531 1569653615.8742
MEM 46.769531 1569653615.9784
MEM 46.769531 1569653616.0836
MEM 46.769531 1569653616.1877
MEM 46.769531 1569653616.2919
MEM 46.769531 1569653616.3961
MEM 46.769531 1569653616.5007
MEM 46.750000 1569653616.6086
MEM 46.750000 1569653616.7133
